frame,vo_x,vo_z,gps_x,gps_z,error_m
200,0.29936600341272607,-2.891148327657077,1.1612806236053663,-10.910686615576079,8.065723226338767
201,0.4921943442686606,-4.740536386285337,1.1903064074001324,-11.038509832230957,6.336547165335853
202,0.6492396726820338,-6.037674151557138,1.2193321911948982,-11.166333048885834,5.1602468511509345
203,0.7913113964218169,-7.020871959795596,1.248357974989664,-11.294156265540712,4.297656376760256
204,0.8948029145192131,-7.804675561023679,1.2773837587844303,-11.42197948219559,3.6374793141026074
205,0.9654424544271346,-8.458348014800743,1.3064095425791962,-11.549802698850469,3.1102010576063868
206,1.0545534089831878,-9.00277827519839,1.335435326373962,-11.677625915505347,2.6895547122846963
207,1.1456182190252633,-9.457955627313183,1.364461110168728,-11.805449132160225,2.3576721498764583
208,1.238330277977053,-9.898509831179808,1.3934868939634941,-11.933272348815102,2.040669517256011
209,1.3203721536295199,-10.239565743794005,1.42251267775826,-12.06109556546998,1.8243912896975265
210,1.382264958461381,-10.55237061920214,1.4515384615530258,-12.188918782124858,1.6380136470116213
211,1.4577560071159013,-10.818903379240236,1.4805642453477919,-12.316741998779737,1.4980122649415253
212,1.514261453032381,-11.07187714563414,1.509590029142558,-12.444565215434615,1.3726960184883292
213,1.5880197350687484,-11.318654661433515,1.5386158129373237,-12.572388432089493,1.254706784553756
214,1.6500951482109778,-11.54106632833223,1.5774830392251562,-12.700211648243773,1.1614174060363494
215,1.7126331431274147,-11.756353923976157,1.6210217149153707,-12.828034864160433,1.0755894622639737
216,1.7596044848765362,-11.929504986545801,1.6645603906055852,-12.95585808007709,1.0307444166509143
217,1.822906128272425,-12.102734776020114,1.7080990662957998,-13.08368129599375,0.9876420082844256
218,1.8812136919398177,-12.263750390259085,1.7516377419860154,-13.211504511910414,0.9565708556680536
219,1.9279163514690056,-12.43438692458018,1.7951764176762297,-13.339327727827072,0.9146243750329652
220,1.9834411265977294,-12.581517956465769,1.8387150933664442,-13.467150943743732,0.8973803055838437
221,2.017361721156753,-12.744630350954424,1.8822537690566588,-13.594974159660392,0.8610103087218259
222,2.0809451947103716,-12.892839895702565,1.9257924447468733,-13.722797375577052,0.844335119618298
223,2.14832257901144,-13.02647007455423,1.9693311204370878,-13.850620591493712,0.843363514040174
224,2.201950299086027,-13.157870689969432,2.012869796127302,-13.97844380741037,0.8420758146781466
225,2.260485431619632,-13.28624386616704,2.056408471817517,-14.10626702332703,0.8450357293042188
226,2.3123718363568546,-13.50961652131882,2.099947147507731,-14.23409023924369,0.7549744475123183
227,2.3197206633075367,-13.6481393448298,2.143485823197946,-14.361913455160348,0.7352089495147738
228,2.3933482047419523,-13.76390893844534,2.18702449888816,-14.489736671077008,0.7545829106562579
229,2.4405897930445923,-13.886722820624312,2.230563174578375,-14.617559886993668,0.7604169895811901
230,2.507882652345895,-14.004873743949164,2.2741018502685892,-14.745383102910328,0.776535623219555
231,2.5529006847308033,-14.121598189354408,2.3176405259588035,-14.873206318826988,0.7875672178263239
232,2.6053187055846503,-14.245737937314459,2.3611792016490183,-15.001029534743646,0.7937691695506126
233,2.654023897146805,-14.35702415006109,2.4047178773392326,-15.128852750660306,0.8110936322122357
234,2.665848248065251,-14.511344929666821,2.4482565530294473,-15.256675966576966,0.7764434946150978
235,2.724823014014137,-14.61840506609444,2.4917952287196616,-15.384499182493624,0.8007509874490916
236,2.7802859544759726,-14.745589753879262,2.5353339044098764,-15.512322398410284,0.8049102155030196
237,2.84260203307079,-14.867606806405721,2.5788725801000907,-15.640145614326944,0.816314543609611
238,2.8637797221188377,-15.003259268682603,2.622411255790305,-15.767968830243603,0.8018974062064331
239,2.912726945620385,-15.117930677656673,2.6659499314805197,-15.895792046160263,0.816068136443315
240,2.985445096200112,-15.242996988228718,2.7094886071707345,-16.023615262076923,0.8279594635627834
241,3.046940688382396,-15.370904238697374,2.7530272828609483,-16.15143847799358,0.8340376422314049
242,3.093636852186476,-15.590024016106288,2.7965659585511644,-16.279261693910243,0.7505329388840118
243,3.150175723936261,-15.699047840699002,2.840104634241378,-16.4070849098269,0.772955737363916
244,3.2103960900758985,-15.813637907646779,2.885859021257156,-16.53614717434494,0.7920504715623718
245,3.2683585487160984,-15.9301030233516,2.940282365873787,-16.670057209268265,0.8094233620324873
246,3.3071436995260806,-16.061639937150296,2.994705710490421,-16.803967244191597,0.8053988625344811
247,3.3683618156416104,-16.18598895212225,3.049129055107052,-16.937877279114918,0.8168510339507113
248,3.416628130165361,-16.310524499862083,3.103552399723686,-17.07178731403825,0.8231266520038126
249,3.4725780324271085,-16.439561011949383,3.157975744340317,-17.205697348961575,0.8282146379773201
250,3.536052703762235,-16.5726526063589,3.2123990889569507,-17.339607383884907,0.8324489732989604
251,3.57917224034788,-16.799783543857775,3.266822433573582,-17.47351741880823,0.7426168164320649
252,3.6310086275627484,-16.905979516060697,3.3212457781902156,-17.60742745373156,0.7667999948579148
253,3.6951099542309085,-17.03146413691359,3.3756691228068467,-17.741337488654885,0.7784360091191277
254,3.7501306038569675,-17.155790344599225,3.4300924674234805,-17.875247523578217,0.7874281180883931
255,3.800445079469655,-17.287470399864585,3.4845158120401116,-18.00915755850154,0.787809403955073
256,3.8566859092293484,-17.41351679552494,3.5389391566567454,-18.14306759342487,0.7957432786312794
257,3.922330416932839,-17.54304283587804,3.593362501273379,-18.276977628348202,0.8042886105942004
258,3.9777794385839984,-17.674715302088988,3.6477858458900103,-18.410887663271527,0.8067499715451878
259,4.03940558741567,-17.806348099646815,3.702209190506644,-18.544797698194856,0.8117938283112233
