Magnetic Field X [µT],Magnetic Field Y [µT],Magnetic Field Z [µT],Sample time [seg]
-88.581,-105.228004,-181.40001,2025-02-16 16:30:35.695
-89.954,-107.162,-179.884,2025-02-16 16:30:35.703
-89.57001,-107.341,-180.535,2025-02-16 16:30:35.713
-88.52901,-105.64001,-179.99901,2025-02-16 16:30:35.721
-88.193,-105.17901,-179.662,2025-02-16 16:30:35.728
-88.32101,-105.62701,-181.24501,2025-02-16 16:30:35.736
-88.523,-106.705,-180.39201,2025-02-16 16:30:35.744
-89.26401,-107.200005,-179.95201,2025-02-16 16:30:35.752
-89.077,-107.40101,-180.95702,2025-02-16 16:30:35.760
-88.304,-106.586006,-181.87201,2025-02-16 16:30:35.768
-88.177,-105.19301,-182.06201,2025-02-16 16:30:35.776
-88.54301,-105.85901,-180.787,2025-02-16 16:30:35.784
-88.59901,-106.505005,-181.20901,2025-02-16 16:30:35.791
-88.245,-105.828,-180.54102,2025-02-16 16:30:35.800
-88.828,-106.73,-179.60901,2025-02-16 16:30:35.808
-88.72401,-106.72401,-180.289,2025-02-16 16:30:35.817
-88.578,-106.29201,-181.45001,2025-02-16 16:30:35.823
-88.457,-107.128006,-181.16301,2025-02-16 16:30:35.833
-88.054,-106.977005,-180.231,2025-02-16 16:30:35.840
-87.855,-105.896,-180.62701,2025-02-16 16:30:35.847
-87.996,-106.33301,-180.266,2025-02-16 16:30:35.855
-88.341,-106.786,-179.23201,2025-02-16 16:30:35.864
-88.54401,-105.743004,-179.19301,2025-02-16 16:30:35.872
-88.535,-105.75001,-180.565,2025-02-16 16:30:35.880
-88.434006,-105.742004,-180.787,2025-02-16 16:30:35.887
-87.885,-106.217,-180.38101,2025-02-16 16:30:35.895
-87.62,-107.565,-179.139,2025-02-16 16:30:35.904
-87.985,-107.286,-179.865,2025-02-16 16:30:35.912
-87.996,-106.449005,-181.746,2025-02-16 16:30:35.923
-88.803,-106.636,-182.01501,2025-02-16 16:30:35.927
-89.020004,-106.872,-182.244,2025-02-16 16:30:35.935
-88.218,-106.68001,-181.175,2025-02-16 16:30:35.943
-88.517006,-106.59501,-179.94101,2025-02-16 16:30:35.953
-88.83,-106.844,-180.746,2025-02-16 16:30:35.960
-88.75101,-107.162,-181.98001,2025-02-16 16:30:35.968
-87.996,-106.448006,-181.632,2025-02-16 16:30:35.976
-87.508,-106.505005,-181.483,2025-02-16 16:30:35.983
-88.803,-107.69601,-181.494,2025-02-16 16:30:35.991
-88.644005,-107.989006,-179.75002,2025-02-16 16:30:36.002
-87.97301,-107.066,-178.848,2025-02-16 16:30:36.008
-88.05,-105.80401,-179.84401,2025-02-16 16:30:36.016
-88.505005,-106.490005,-180.289,2025-02-16 16:30:36.024
-88.336006,-106.79001,-179.917,2025-02-16 16:30:36.032
-87.536,-106.712006,-180.1,2025-02-16 16:30:36.041
-87.97401,-107.18001,-180.09901,2025-02-16 16:30:36.048
-87.839005,-106.739006,-179.66,2025-02-16 16:30:36.056
-87.30601,-106.371,-180.22,2025-02-16 16:30:36.064
-86.674,-105.878006,-179.40901,2025-02-16 16:30:36.071
-87.136,-106.55801,-178.71101,2025-02-16 16:30:36.079
-87.535,-107.773,-179.807,2025-02-16 16:30:36.087
-88.285,-107.316,-179.882,2025-02-16 16:30:36.096
-88.68101,-106.18301,-179.51901,2025-02-16 16:30:36.104
-87.57201,-106.08401,-181.05501,2025-02-16 16:30:36.111
-87.332,-106.69501,-180.66,2025-02-16 16:30:36.119
-87.21001,-107.41901,-179.23601,2025-02-16 16:30:36.127
-86.897,-107.4,-181.16101,2025-02-16 16:30:36.136
-87.091,-107.425,-182.087,2025-02-16 16:30:36.144
-87.581,-107.25101,-180.64201,2025-02-16 16:30:36.153
-86.83,-106.534004,-179.72202,2025-02-16 16:30:36.160
-87.55601,-107.04101,-181.45401,2025-02-16 16:30:36.170
-87.887,-107.622,-184.07,2025-02-16 16:30:36.179
-87.384,-107.46001,-183.13301,2025-02-16 16:30:36.184
-87.37501,-107.23701,-181.54501,2025-02-16 16:30:36.192
-86.858,-106.97101,-181.29901,2025-02-16 16:30:36.201
-86.618004,-106.524,-181.539,2025-02-16 16:30:36.208
-86.94,-105.706,-181.60901,2025-02-16 16:30:36.217
-86.664,-106.00201,-182.37401,2025-02-16 16:30:36.223
-86.721,-107.70701,-182.046,2025-02-16 16:30:36.231
-87.081,-107.203,-180.727,2025-02-16 16:30:36.240
-86.733,-106.636,-180.62502,2025-02-16 16:30:36.248
-86.518005,-107.574005,-181.01201,2025-02-16 16:30:36.256
-85.287,-107.13701,-181.531,2025-02-16 16:30:36.264
-84.935005,-107.519005,-180.113,2025-02-16 16:30:36.272
-85.579,-108.00201,-179.21101,2025-02-16 16:30:36.281
-86.369,-108.089005,-180.628,2025-02-16 16:30:36.288
-86.384,-108.30701,-181.302,2025-02-16 16:30:36.296
-85.747,-107.817,-181.06201,2025-02-16 16:30:36.306
-85.020004,-107.426,-180.925,2025-02-16 16:30:36.313
-85.145004,-107.645004,-180.005,2025-02-16 16:30:36.320
-85.97401,-107.93001,-178.44,2025-02-16 16:30:36.327
-85.342,-107.552,-178.994,2025-02-16 16:30:36.336
-84.75001,-107.602005,-179.296,2025-02-16 16:30:36.345
-85.68101,-108.011,-178.988,2025-02-16 16:30:36.352
-85.98601,-108.26601,-181.05101,2025-02-16 16:30:36.360
-84.914,-108.481,-181.31201,2025-02-16 16:30:36.369
-85.074005,-107.95801,-180.09601,2025-02-16 16:30:36.376
-85.707,-107.274,-179.83401,2025-02-16 16:30:36.384
-86.37601,-108.198006,-180.96501,2025-02-16 16:30:36.393
-85.87601,-108.034004,-179.68501,2025-02-16 16:30:36.400
-85.369,-107.87601,-179.31902,2025-02-16 16:30:36.408
-85.369,-108.82101,-177.432,2025-02-16 16:30:36.415
-84.616005,-108.219,-178.10701,2025-02-16 16:30:36.423
-85.051,-107.746,-180.67902,2025-02-16 16:30:36.432
-84.534004,-107.365005,-178.839,2025-02-16 16:30:36.440
-84.810005,-107.06801,-178.074,2025-02-16 16:30:36.448
-85.485,-107.98701,-178.29102,2025-02-16 16:30:36.456
-85.858,-107.81801,-179.468,2025-02-16 16:30:36.464
-85.58401,-106.938,-179.046,2025-02-16 16:30:36.472
-84.314,-107.131004,-178.953,2025-02-16 16:30:36.481
-84.981,-106.99801,-181.063,2025-02-16 16:30:36.488
-84.691,-107.075005,-181.04001,2025-02-16 16:30:36.496
-83.89101,-106.881004,-179.628,2025-02-16 16:30:36.507
-83.881004,-105.714005,-180.15501,2025-02-16 16:30:36.512
-84.51,-107.270004,-181.13101,2025-02-16 16:30:36.523
-85.467,-108.00201,-181.033,2025-02-16 16:30:36.528
-85.27801,-106.914,-179.94301,2025-02-16 16:30:36.537
-84.657005,-107.702,-179.856,2025-02-16 16:30:36.548
-84.144005,-107.549,-180.404,2025-02-16 16:30:36.552
-82.939,-107.436005,-181.363,2025-02-16 16:30:36.560
-83.01501,-109.355,-181.024,2025-02-16 16:30:36.568
-83.3,-109.16601,-180.253,2025-02-16 16:30:36.578
-82.846,-108.48,-179.80801,2025-02-16 16:30:36.584
-82.635,-108.354004,-179.91602,2025-02-16 16:30:36.592
-82.88901,-107.84501,-179.62001,2025-02-16 16:30:36.600
-83.492004,-108.01601,-180.449,2025-02-16 16:30:36.607
-83.170006,-107.775,-181.014,2025-02-16 16:30:36.616
-83.399,-108.00101,-179.414,2025-02-16 16:30:36.623
-82.995,-107.966,-180.19101,2025-02-16 16:30:36.634
-82.18101,-107.784004,-180.951,2025-02-16 16:30:36.639
-81.950005,-107.329,-179.82,2025-02-16 16:30:36.648
-81.532005,-107.074005,-179.58,2025-02-16 16:30:36.655
-81.652,-107.298004,-179.574,2025-02-16 16:30:36.664
-81.20901,-107.77801,-178.25801,2025-02-16 16:30:36.672
-79.906006,-107.65401,-178.983,2025-02-16 16:30:36.683
-79.44,-106.978004,-180.25201,2025-02-16 16:30:36.687
-79.339005,-107.08401,-181.84001,2025-02-16 16:30:36.696
-79.47,-107.414,-181.6,2025-02-16 16:30:36.705
-79.295006,-107.604004,-180.66301,2025-02-16 16:30:36.712
-78.94701,-107.038,-180.67401,2025-02-16 16:30:36.720
-79.18101,-106.43101,-181.87001,2025-02-16 16:30:36.729
-79.25,-107.295006,-183.08,2025-02-16 16:30:36.736
-78.66801,-107.337006,-181.897,2025-02-16 16:30:36.744
-78.148,-106.95901,-180.628,2025-02-16 16:30:36.752
-78.014,-107.577,-179.55301,2025-02-16 16:30:36.759
-77.763,-107.023,-179.91301,2025-02-16 16:30:36.767
-77.381004,-106.13901,-180.628,2025-02-16 16:30:36.777
-77.102005,-106.323006,-180.48502,2025-02-16 16:30:36.784
-76.810005,-107.34701,-178.80402,2025-02-16 16:30:36.792
