Y acceleration m/s^2,-X acceleration m/s^2,Z acceleration m/s^2 Z,Sample time [seg]
8.714894,2.1643584,4.8458643,2025-02-16 16:30:35.247
8.571242,2.087744,4.951209,2025-02-16 16:30:35.248
8.580819,1.982399,4.9224787,2025-02-16 16:30:35.252
8.599973,2.0015526,4.9320555,2025-02-16 16:30:35.255
8.628703,2.0207062,4.7884035,2025-02-16 16:30:35.259
8.647857,2.0973208,4.7884035,2025-02-16 16:30:35.262
8.762778,2.183512,4.654328,2025-02-16 16:30:35.266
8.772355,2.432509,4.6351743,2025-02-16 16:30:35.270
8.810662,2.4899697,4.673482,2025-02-16 16:30:35.274
8.686164,2.4708161,4.7500963,2025-02-16 16:30:35.279
8.63828,2.327164,4.903325,2025-02-16 16:30:35.282
8.504205,2.2218192,4.999093,2025-02-16 16:30:35.287
8.494628,2.087744,4.9895163,2025-02-16 16:30:35.291
8.465898,2.1260512,4.960786,2025-02-16 16:30:35.295
8.542512,2.1260512,4.9416323,2025-02-16 16:30:35.299
8.571242,2.1260512,4.8267107,2025-02-16 16:30:35.303
8.619126,2.078167,4.7405195,2025-02-16 16:30:35.307
8.676587,2.087744,4.7309427,2025-02-16 16:30:35.311
8.590396,2.3463178,4.76925,2025-02-16 16:30:35.315
8.686164,2.3175871,4.8362875,2025-02-16 16:30:35.319
8.561666,2.2697031,4.8458643,2025-02-16 16:30:35.322
8.485051,2.135628,4.951209,2025-02-16 16:30:35.327
8.408437,1.9632454,4.903325,2025-02-16 16:30:35.331
8.418014,1.733402,4.9799395,2025-02-16 16:30:35.335
8.504205,1.8291701,4.8745947,2025-02-16 16:30:35.338
8.561666,2.0398598,4.8267107,2025-02-16 16:30:35.344
8.743625,2.2218192,4.6926355,2025-02-16 16:30:35.347
8.762778,2.2984335,4.7405195,2025-02-16 16:30:35.351
8.772355,2.3175871,4.663905,2025-02-16 16:30:35.355
8.772355,2.1643584,4.711789,2025-02-16 16:30:35.358
8.63828,2.0494366,4.5202527,2025-02-16 16:30:35.362
8.695741,2.0685902,4.7788267,2025-02-16 16:30:35.367
8.6574335,2.0398598,4.8267107,2025-02-16 16:30:35.370
8.6095495,1.9919758,4.807557,2025-02-16 16:30:35.376
8.7053175,2.0111294,4.9799395,2025-02-16 16:30:35.379
8.6574335,1.8674773,4.9895163,2025-02-16 16:30:35.383
8.628703,1.7142484,4.759673,2025-02-16 16:30:35.387
8.848969,1.733402,4.7405195,2025-02-16 16:30:35.391
8.839393,1.6759412,4.4723687,2025-02-16 16:30:35.394
8.8777,1.5801731,4.3766007,2025-02-16 16:30:35.399
8.973468,1.5227122,4.4819455,2025-02-16 16:30:35.403
8.887277,1.5035586,4.4723687,2025-02-16 16:30:35.407
8.954314,1.4269443,4.5298295,2025-02-16 16:30:35.414
8.8777,1.4748282,4.759673,2025-02-16 16:30:35.415
8.820239,1.3790601,4.7500963,2025-02-16 16:30:35.418
8.791509,1.3503298,4.8745947,2025-02-16 16:30:35.423
8.734048,1.3503298,4.9224787,2025-02-16 16:30:35.427
8.7532015,1.3215994,4.9320555,2025-02-16 16:30:35.431
8.772355,1.4748282,4.9224787,2025-02-16 16:30:35.435
8.858546,1.4652514,4.76925,2025-02-16 16:30:35.440
8.90643,1.436521,4.7022123,2025-02-16 16:30:35.442
8.935161,1.283292,4.6255975,2025-02-16 16:30:35.447
8.887277,1.1492168,4.453215,2025-02-16 16:30:35.451
8.896853,1.0342951,4.510676,2025-02-16 16:30:35.455
8.916007,1.0726024,4.6351743,2025-02-16 16:30:35.458
8.848969,1.0821792,4.6926355,2025-02-16 16:30:35.463
8.829816,1.13964,4.721366,2025-02-16 16:30:35.466
8.801085,1.2545617,4.807557,2025-02-16 16:30:35.471
8.743625,1.3503298,4.8267107,2025-02-16 16:30:35.475
8.599973,1.5131354,4.7405195,2025-02-16 16:30:35.480
8.695741,1.7142484,5.00867,2025-02-16 16:30:35.484
8.695741,1.7046716,4.960786,2025-02-16 16:30:35.487
8.676587,1.7525556,4.673482,2025-02-16 16:30:35.491
8.916007,1.8387469,4.7788267,2025-02-16 16:30:35.495
8.944737,1.8674773,4.5681367,2025-02-16 16:30:35.499
8.935161,1.8866309,4.453215,2025-02-16 16:30:35.503
9.021352,1.7812861,4.673482,2025-02-16 16:30:35.507
8.983045,1.6759412,4.663905,2025-02-16 16:30:35.511
9.011775,1.5610195,4.5202527,2025-02-16 16:30:35.514
9.069236,1.532289,4.5394063,2025-02-16 16:30:35.519
9.021352,1.4939818,4.3382936,2025-02-16 16:30:35.523
8.944737,1.532289,4.367024,2025-02-16 16:30:35.527
8.973468,1.541866,4.271256,2025-02-16 16:30:35.531
8.887277,1.5897499,4.414908,2025-02-16 16:30:35.536
8.801085,1.7812861,4.6351743,2025-02-16 16:30:35.539
8.762778,2.0207062,4.7022123,2025-02-16 16:30:35.543
8.66701,2.2601264,4.7884035,2025-02-16 16:30:35.547
8.7053175,2.4037786,4.903325,2025-02-16 16:30:35.551
8.619126,2.3750482,4.9320555,2025-02-16 16:30:35.554
8.724471,2.3750482,4.7884035,2025-02-16 16:30:35.559
8.743625,2.327164,4.6926355,2025-02-16 16:30:35.562
8.829816,2.4708161,4.5394063,2025-02-16 16:30:35.567
9.050082,2.5570073,4.4244847,2025-02-16 16:30:35.571
9.021352,2.585738,4.261679,2025-02-16 16:30:35.576
9.097966,2.566584,4.223372,2025-02-16 16:30:35.579
9.040505,2.5761611,4.098873,2025-02-16 16:30:35.583
8.973468,2.6910827,4.0892963,2025-02-16 16:30:35.587
8.896853,2.9592333,4.4915223,2025-02-16 16:30:35.591
8.7532015,3.1124623,4.606444,2025-02-16 16:30:35.595
8.561666,3.2273839,4.6351743,2025-02-16 16:30:35.599
8.456321,3.2273839,4.9320555,2025-02-16 16:30:35.603
8.322245,3.1794999,4.8745947,2025-02-16 16:30:35.609
8.312668,3.169923,4.8745947,2025-02-16 16:30:35.611
8.37013,3.1411927,4.9703627,2025-02-16 16:30:35.616
8.39886,2.96881,4.903325,2025-02-16 16:30:35.619
8.446744,2.7964275,4.7022123,2025-02-16 16:30:35.623
8.523358,2.5091233,4.5394063,2025-02-16 16:30:35.627
8.542512,2.3942018,4.405331,2025-02-16 16:30:35.632
8.781932,2.3558946,4.223372,2025-02-16 16:30:35.635
8.734048,2.3654714,4.2425256,2025-02-16 16:30:35.639
8.829816,2.5187001,4.261679,2025-02-16 16:30:35.643
8.810662,2.5761611,4.280833,2025-02-16 16:30:35.647
8.7053175,2.566584,4.3382936,2025-02-16 16:30:35.650
8.695741,2.528277,4.501099,2025-02-16 16:30:35.654
8.66701,2.5953147,4.6160207,2025-02-16 16:30:35.658
8.647857,2.566584,4.644751,2025-02-16 16:30:35.665
8.695741,2.4995465,4.7884035,2025-02-16 16:30:35.667
8.7053175,2.4708161,4.673482,2025-02-16 16:30:35.671
8.820239,2.2026656,4.4819455,2025-02-16 16:30:35.675
9.002198,2.0398598,4.261679,2025-02-16 16:30:35.679
8.571242,2.1930888,3.122039,2025-02-16 16:30:35.683
8.485051,2.7964275,3.763685,2025-02-16 16:30:35.687
10.189722,2.4899697,8.0924015,2025-02-16 16:30:35.690
8.7053175,1.0151415,3.7828386,2025-02-16 16:30:35.694
7.4028716,1.292869,-0.8810662,2025-02-16 16:30:35.698
11.118672,2.8443117,8.207323,2025-02-16 16:30:35.702
9.011775,2.3750482,2.6431987,2025-02-16 16:30:35.706
8.293514,1.9249382,0.6512229,2025-02-16 16:30:35.712
9.80665,2.336741,5.6215854,2025-02-16 16:30:35.715
8.858546,1.8004397,4.9224787,2025-02-16 16:30:35.719
8.513782,1.1875241,3.715801,2025-02-16 16:30:35.723
8.935161,1.6663644,3.7062242,2025-02-16 16:30:35.728
8.8777,2.480393,3.323152,2025-02-16 16:30:35.731
9.576807,2.6431987,5.00867,2025-02-16 16:30:35.736
9.346964,2.1547816,4.548983,2025-02-16 16:30:35.739
8.858546,1.5897499,2.7964275,2025-02-16 16:30:35.743
9.32781,1.7908629,3.8881836,2025-02-16 16:30:35.748
9.279925,1.8962077,4.2904096,2025-02-16 16:30:35.751
9.069236,2.135628,3.9743748,2025-02-16 16:30:35.754
9.3182335,1.8579005,4.8458643,2025-02-16 16:30:35.759
9.011775,1.0821792,4.0701427,2025-02-16 16:30:35.763
9.040505,0.6607997,3.7732618,2025-02-16 16:30:35.768
9.519346,1.2354081,4.280833,2025-02-16 16:30:35.771
9.471462,1.8674773,2.9496565,2025-02-16 16:30:35.775
9.749189,2.384625,3.41892,2025-02-16 16:30:35.779
9.643845,2.1547816,3.7732618,2025-02-16 16:30:35.783
9.097966,1.5131354,3.265691,2025-02-16 16:30:35.787
9.002198,1.2066777,4.012682,2025-02-16 16:30:35.790
8.839393,1.4269443,4.7022123,2025-02-16 16:30:35.795
8.695741,1.8579005,4.6351743,2025-02-16 16:30:35.799
8.734048,2.0111294,4.9224787,2025-02-16 16:30:35.802
8.619126,1.8579005,4.8362875,2025-02-16 16:30:35.807
8.523358,1.5035586,4.5298295,2025-02-16 16:30:35.811
8.772355,1.484405,4.7500963,2025-02-16 16:30:35.815
8.887277,1.8387469,4.2042184,2025-02-16 16:30:35.819
9.136273,2.4037786,3.8594532,2025-02-16 16:30:35.823
9.308656,2.4612393,3.9552212,2025-02-16 16:30:35.827
9.078813,2.1068976,3.5051112,2025-02-16 16:30:35.831
9.155427,1.7812861,3.715801,2025-02-16 16:30:35.835
9.002198,1.7525556,3.8115692,2025-02-16 16:30:35.839
8.944737,2.1452048,3.6487634,2025-02-16 16:30:35.843
9.097966,2.4899697,4.2521024,2025-02-16 16:30:35.847
9.030929,2.3942018,4.156334,2025-02-16 16:30:35.850
9.069236,2.0494366,4.1180267,2025-02-16 16:30:35.855
9.203311,1.8004397,4.050989,2025-02-16 16:30:35.859
9.251195,1.8195933,3.9935284,2025-02-16 16:30:35.863
9.490616,2.135628,3.8498764,2025-02-16 16:30:35.867
9.481039,2.1643584,3.8498764,2025-02-16 16:30:35.871
9.32781,1.982399,3.5338416,2025-02-16 16:30:35.875
9.251195,1.6184803,3.763685,2025-02-16 16:30:35.879
9.260772,1.4460979,3.8019924,2025-02-16 16:30:35.883
9.270349,1.6950948,3.572149,2025-02-16 16:30:35.887
9.337387,2.0685902,3.5338416,2025-02-16 16:30:35.890
9.241618,2.384625,3.3997664,2025-02-16 16:30:35.894
9.165004,2.231396,3.6391866,2025-02-16 16:30:35.898
9.002198,1.9536686,4.175488,2025-02-16 16:30:35.903
8.925584,1.7717092,4.0701427,2025-02-16 16:30:35.907
8.801085,1.8579005,4.2521024,2025-02-16 16:30:35.912
8.762778,2.1452048,4.31914,2025-02-16 16:30:35.915
8.916007,2.1164744,4.462792,2025-02-16 16:30:35.922
8.90643,1.9536686,4.3287168,2025-02-16 16:30:35.923
8.8777,1.8674773,3.9935284,2025-02-16 16:30:35.928
9.069236,2.135628,4.3382936,2025-02-16 16:30:35.931
9.155427,2.4612393,4.223372,2025-02-16 16:30:35.934
9.165004,2.7485435,4.156334,2025-02-16 16:30:35.938
9.14585,2.6910827,4.271256,2025-02-16 16:30:35.944
9.126697,2.5091233,4.146757,2025-02-16 16:30:35.947
9.184157,2.4995465,4.3766007,2025-02-16 16:30:35.952
9.203311,2.6623523,3.8594532,2025-02-16 16:30:35.955
9.184157,2.9496565,3.8594532,2025-02-16 16:30:35.960
9.32781,3.1124623,3.964798,2025-02-16 16:30:35.963
9.203311,2.930503,3.9073372,2025-02-16 16:30:35.967
9.11712,2.633622,3.9073372,2025-02-16 16:30:35.970
9.050082,2.4420857,3.9073372,2025-02-16 16:30:35.977
8.992621,2.336741,3.5242648,2025-02-16 16:30:35.979
9.002198,2.2409728,3.7062242,2025-02-16 16:30:35.983
8.944737,2.1547816,3.2752678,2025-02-16 16:30:35.987
8.820239,1.934515,3.715801,2025-02-16 16:30:35.991
8.772355,1.7142484,4.175488,2025-02-16 16:30:35.994
8.772355,1.5227122,4.1946416,2025-02-16 16:30:36.000
8.868123,1.4556746,4.654328,2025-02-16 16:30:36.003
8.90643,1.3599066,4.6351743,2025-02-16 16:30:36.007
9.030929,1.0630256,4.7405195,2025-02-16 16:30:36.011
9.126697,0.82360536,4.855441,2025-02-16 16:30:36.015
9.059659,0.58418524,4.596867,2025-02-16 16:30:36.019
8.983045,0.46926352,4.673482,2025-02-16 16:30:36.023
9.088389,0.59376204,4.644751,2025-02-16 16:30:36.027
9.059659,0.6991069,4.644751,2025-02-16 16:30:36.031
9.069236,0.9576807,4.213795,2025-02-16 16:30:36.034
9.193734,1.1779473,3.7445314,2025-02-16 16:30:36.040
9.3661175,1.5610195,3.5529952,2025-02-16 16:30:36.042
9.548077,1.8674773,3.3806129,2025-02-16 16:30:36.047
9.634268,2.1068976,3.3039982,2025-02-16 16:30:36.051
9.691729,2.1452048,3.4284968,2025-02-16 16:30:36.055
9.490616,2.0111294,3.8307228,2025-02-16 16:30:36.059
9.308656,1.733402,4.280833,2025-02-16 16:30:36.064
9.040505,1.6184803,4.3766007,2025-02-16 16:30:36.068
8.925584,1.6089035,4.711789,2025-02-16 16:30:36.072
8.954314,1.7142484,4.807557,2025-02-16 16:30:36.075
8.963891,1.8100165,4.4436383,2025-02-16 16:30:36.079
9.107543,1.9536686,4.098873,2025-02-16 16:30:36.082
9.3182335,2.087744,3.572149,2025-02-16 16:30:36.086
9.500193,2.030283,3.2752678,2025-02-16 16:30:36.090
9.586384,1.8674773,3.371036,2025-02-16 16:30:36.096
9.509769,1.5993267,3.371036,2025-02-16 16:30:36.099
9.404425,1.2641385,3.371036,2025-02-16 16:30:36.104
9.289502,0.93852705,3.7541082,2025-02-16 16:30:36.106
9.021352,0.7757214,3.86903,2025-02-16 16:30:36.113
8.935161,0.91937345,4.5394063,2025-02-16 16:30:36.116
8.762778,1.1109096,4.759673,2025-02-16 16:30:36.119
8.561666,1.1683705,4.7309427,2025-02-16 16:30:36.123
8.6095495,1.3790601,5.085284,2025-02-16 16:30:36.128
8.580819,1.292869,5.449203,2025-02-16 16:30:36.131
8.647857,1.1683705,5.0182467,2025-02-16 16:30:36.135
8.676587,1.0055647,5.0661306,2025-02-16 16:30:36.138
8.810662,0.90021986,5.0182467,2025-02-16 16:30:36.143
8.925584,0.6607997,4.55856,2025-02-16 16:30:36.147
8.820239,0.545878,3.7541082,2025-02-16 16:30:36.152
9.078813,0.6607997,3.620033,2025-02-16 16:30:36.155
9.203311,0.9576807,3.7349546,2025-02-16 16:30:36.160
8.963891,1.388637,2.767697,2025-02-16 16:30:36.163
8.983045,2.087744,3.5242648,2025-02-16 16:30:36.168
9.040505,2.6048915,4.5777135,2025-02-16 16:30:36.171
8.599973,2.4612393,4.2904096,2025-02-16 16:30:36.177
8.389283,2.1643584,5.2385135,2025-02-16 16:30:36.180
8.475474,2.0973208,5.6120086,2025-02-16 16:30:36.183
8.523358,2.480393,4.76925,2025-02-16 16:30:36.186
9.069236,3.0933087,4.4723687,2025-02-16 16:30:36.191
9.519346,3.5817258,3.8019924,2025-02-16 16:30:36.195
9.404425,2.8538885,3.0933087,2025-02-16 16:30:36.200
9.385271,1.8962077,3.1411927,2025-02-16 16:30:36.203
9.174581,0.7565677,3.0933087,2025-02-16 16:30:36.207
8.839393,0.34476504,3.083732,2025-02-16 16:30:36.211
8.772355,0.47884035,3.667917,2025-02-16 16:30:36.215
8.734048,1.2162545,3.8786068,2025-02-16 16:30:36.219
8.6095495,1.9057846,3.8977604,2025-02-16 16:30:36.222
8.734048,2.4133554,4.4723687,2025-02-16 16:30:36.227
8.935161,2.585738,5.1235914,2025-02-16 16:30:36.231
9.059659,2.8443117,4.912902,2025-02-16 16:30:36.234
9.107543,2.8538885,4.673482,2025-02-16 16:30:36.239
9.050082,2.5474305,4.4244847,2025-02-16 16:30:36.243
8.944737,1.8100165,4.271256,2025-02-16 16:30:36.247
9.050082,0.61291564,4.2521024,2025-02-16 16:30:36.251
9.059659,0.038307227,3.3614593,2025-02-16 16:30:36.255
9.270349,-0.1340753,2.9113493,2025-02-16 16:30:36.259
9.481039,0.095768064,2.834735,2025-02-16 16:30:36.263
9.509769,0.4405331,2.4037786,2025-02-16 16:30:36.268
9.634268,0.7661445,3.1507695,2025-02-16 16:30:36.271
9.519346,1.0821792,3.5434184,2025-02-16 16:30:36.275
9.155427,1.3503298,4.012682,2025-02-16 16:30:36.280
9.232041,1.8962077,4.855441,2025-02-16 16:30:36.282
9.241618,2.1739352,5.5162406,2025-02-16 16:30:36.287
9.14585,2.3463178,5.947197,2025-02-16 16:30:36.291
9.174581,2.0973208,6.397307,2025-02-16 16:30:36.296
9.040505,1.4748282,6.655881,2025-02-16 16:30:36.299
8.992621,1.0247183,6.1770406,2025-02-16 16:30:36.304
8.973468,0.63206923,5.6215854,2025-02-16 16:30:36.307
9.050082,0.40222588,4.855441,2025-02-16 16:30:36.312
9.193734,0.22984336,4.060566,2025-02-16 16:30:36.315
9.394848,0.076614454,3.323152,2025-02-16 16:30:36.319
9.385271,-0.1340753,2.6144683,2025-02-16 16:30:36.322
9.481039,-0.095768064,2.4612393,2025-02-16 16:30:36.327
9.452309,-0.05746084,2.96881,2025-02-16 16:30:36.331
9.251195,0.12449849,3.4955344,2025-02-16 16:30:36.337
9.184157,0.17238252,4.4244847,2025-02-16 16:30:36.339
9.078813,0.19153613,4.855441,2025-02-16 16:30:36.344
8.695741,0.31603462,4.721366,2025-02-16 16:30:36.347
8.66701,0.545878,5.142745,2025-02-16 16:30:36.351
8.724471,0.7757214,5.267244,2025-02-16 16:30:36.355
8.6574335,0.7757214,4.960786,2025-02-16 16:30:36.360
8.619126,0.62249243,5.00867,2025-02-16 16:30:36.363
8.7053175,0.46926352,4.951209,2025-02-16 16:30:36.367
8.896853,0.59376204,4.5872903,2025-02-16 16:30:36.371
8.992621,0.8714894,4.357447,2025-02-16 16:30:36.375
9.069236,1.1492168,3.8881836,2025-02-16 16:30:36.379
9.11712,1.2258313,3.7349546,2025-02-16 16:30:36.383
8.916007,1.091756,3.6870706,2025-02-16 16:30:36.387
8.63828,1.0534488,3.8307228,2025-02-16 16:30:36.392
8.66701,1.4652514,4.6926355,2025-02-16 16:30:36.395
8.7053175,1.9153614,4.7500963,2025-02-16 16:30:36.400
8.647857,2.135628,4.5681367,2025-02-16 16:30:36.404
8.973468,2.2984335,5.0757074,2025-02-16 16:30:36.408
9.059659,2.1260512,5.0182467,2025-02-16 16:30:36.411
8.944737,1.9919758,4.4340615,2025-02-16 16:30:36.414
8.8777,2.0111294,4.5298295,2025-02-16 16:30:36.419
8.810662,2.0590134,4.261679,2025-02-16 16:30:36.422
8.619126,1.9919758,4.1276035,2025-02-16 16:30:36.426
8.561666,1.9440918,4.146757,2025-02-16 16:30:36.431
8.63828,1.8962077,4.0797195,2025-02-16 16:30:36.435
8.7532015,2.0590134,4.3766007,2025-02-16 16:30:36.439
9.260772,2.4420857,5.0661306,2025-02-16 16:30:36.443
9.308656,2.5378537,4.2425256,2025-02-16 16:30:36.447
9.749189,2.6719291,4.0892963,2025-02-16 16:30:36.451
10.007763,2.72939,4.0222588,2025-02-16 16:30:36.455
9.931149,2.7102363,3.3327289,2025-02-16 16:30:36.459
9.844957,2.5474305,3.5242648,2025-02-16 16:30:36.463
9.251195,2.030283,3.964798,2025-02-16 16:30:36.467
8.7053175,1.8483237,4.271256,2025-02-16 16:30:36.471
8.42759,1.6759412,5.104438,2025-02-16 16:30:36.474
8.063671,1.6089035,4.9895163,2025-02-16 16:30:36.480
7.967903,1.6472107,4.7788267,2025-02-16 16:30:36.483
8.322245,1.9249382,4.8362875,2025-02-16 16:30:36.487
8.925584,2.3463178,4.232949,2025-02-16 16:30:36.491
9.615114,2.5187001,3.7541082,2025-02-16 16:30:36.495
9.911995,2.6240451,3.074155,2025-02-16 16:30:36.499
9.931149,2.5953147,2.4899697,2025-02-16 16:30:36.506
9.80665,2.4037786,3.0262709,2025-02-16 16:30:36.507
9.394848,1.9632454,3.8019924,2025-02-16 16:30:36.511
8.695741,1.1013328,4.7884035,2025-02-16 16:30:36.516
8.523358,0.641646,5.439626,2025-02-16 16:30:36.519
8.350976,0.4405331,4.8362875,2025-02-16 16:30:36.524
8.465898,0.7278373,4.721366,2025-02-16 16:30:36.527
9.011775,1.283292,4.9799395,2025-02-16 16:30:36.531
9.165004,1.8387469,4.175488,2025-02-16 16:30:36.536
9.394848,2.1452048,3.8019924,2025-02-16 16:30:36.539
9.490616,1.9632454,4.2042184,2025-02-16 16:30:36.546
9.136273,1.7142484,3.6583402,2025-02-16 16:30:36.548
8.90643,1.5610195,3.9360676,2025-02-16 16:30:36.551
8.887277,1.6280571,4.721366,2025-02-16 16:30:36.555
8.6574335,1.5514427,4.9799395,2025-02-16 16:30:36.559
8.887277,0.9672575,5.717354,2025-02-16 16:30:36.563
8.801085,0.78529817,4.817134,2025-02-16 16:30:36.567
8.935161,1.0630256,3.9839516,2025-02-16 16:30:36.571
9.3661175,1.8962077,4.1659107,2025-02-16 16:30:36.576
9.519346,2.3942018,3.620033,2025-02-16 16:30:36.579
9.509769,2.2505496,2.9400797,2025-02-16 16:30:36.583
9.615114,1.2162545,2.719813,2025-02-16 16:30:36.587
9.308656,0.6607997,2.2505496,2025-02-16 16:30:36.591
9.059659,0.6895301,2.4995465,2025-02-16 16:30:36.595
9.050082,1.1204864,3.763685,2025-02-16 16:30:36.600
8.848969,1.5801731,4.76925,2025-02-16 16:30:36.603
8.437167,1.2545617,5.1140146,2025-02-16 16:30:36.607
8.1881695,1.0726024,5.631162,2025-02-16 16:30:36.615
8.494628,1.2162545,6.435614,2025-02-16 16:30:36.615
8.571242,1.4460979,5.650316,2025-02-16 16:30:36.618
8.820239,1.2258313,5.161899,2025-02-16 16:30:36.624
9.442732,0.59376204,5.171476,2025-02-16 16:30:36.627
9.346964,-0.22026655,3.2752678,2025-02-16 16:30:36.633
9.797073,-0.59376204,3.064578,2025-02-16 16:30:36.635
10.036493,-0.51714754,3.4859576,2025-02-16 16:30:36.641
9.643845,-0.46926352,2.920926,2025-02-16 16:30:36.643
9.452309,-0.60333884,3.667917,2025-02-16 16:30:36.648
9.050082,-0.78529817,4.596867,2025-02-16 16:30:36.651
